architecture;cycle_id;rawVal;moisturePct;end_to_end_latency_ms;mqtt_messages_count;reading_received;command_ack_received;data_loss;command_loss;decision;tb_connected;min_free_heap
cloud;1;4463;48.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;99144
cloud;2;4445;48.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;99144
cloud;3;4544;46.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;99144
cloud;4;4543;45.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;99144
cloud;5;6315;7.00;155;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;99144
cloud;6;2339;95.00;174;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_OFF;YES;98604
cloud;7;4260;52.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;98604
cloud;8;4192;54.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;98604
cloud;9;5039;34.00;141;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;98604
cloud;10;5085;33.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98604
cloud;11;5499;24.00;3000;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98604
cloud;12;6347;5.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98604
cloud;13;5396;27.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98604
cloud;14;5897;15.00;3000;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98604
cloud;15;2979;80.00;149;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_OFF;YES;98604
cloud;16;6580;1.00;149;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;98012
cloud;17;4333;50.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98012
cloud;18;4297;51.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98012
cloud;19;4328;51.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98012
cloud;20;4411;49.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98012
cloud;21;6531;2.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98012
cloud;22;6497;2.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98012
cloud;23;6602;0.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98012
cloud;24;6592;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98012
cloud;25;6578;1.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98012
cloud;26;6430;3.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98012
cloud;27;6346;5.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98012
cloud;28;6385;4.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98012
cloud;29;6402;4.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98012
cloud;30;6390;4.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;94952
cloud;31;6615;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;94952
cloud;32;6582;1.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;94952
cloud;33;2093;100.00;129;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_OFF;NO;94952
cloud;34;2112;99.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_OFF;NO;94952
cloud;35;4350;50.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_OFF;NO;94952
cloud;36;4264;52.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_OFF;NO;94952
cloud;37;4275;51.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_OFF;NO;94952
