architecture;cycle_id;rawVal;moisturePct;end_to_end_latency_ms;mqtt_messages_count;reading_received;command_ack_received;data_loss;command_loss;decision;min_free_heap
edge;1;6608;0.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;106824
edge;2;6602;0.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106824
edge;3;6608;0.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;4;6602;0.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;5;6610;0.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;6;6598;0.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;7;6604;0.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;8;6594;0.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;9;6614;0.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;10;6606;0.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;11;6596;0.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;12;6604;0.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;13;6602;0.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;14;6604;0.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;15;6600;0.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;16;6558;0.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;17;2228;98.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;106644
edge;18;2396;94.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;19;5892;13.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;106644
edge;20;2406;94.00;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;106644
edge;21;2790;85.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;22;2626;89.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;23;2096;100.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;24;2036;100.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;25;2116;100.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;26;3052;79.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;27;5006;34.00;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;106644
edge;28;4288;50.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;29;4454;47.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;30;5984;11.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;31;2074;100.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;106644
edge;32;2134;100.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;33;2148;100.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;34;2904;82.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;35;3668;65.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
