architecture,cycle_id,rawVal,moisturePct,end_to_end_latency_ms,mqtt_messages_count,reading_received,command_ack_received,data_loss,command_loss,decision,min_free_heap
edge,1,4335,50.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106824
edge,2,4099,55.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106644
edge,3,4022,58.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106824
edge,4,3069,79.00,2,1,RECEIVED,SUCCESS,NO,NO,PUMP_OFF,106716
edge,5,3229,75.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106643
edge,6,3386,72.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106642
edge,7,2234,97.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106642
edge,8,2361,94.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106644
edge,9,2395,93.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106642
edge,10,2522,91.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106644
edge,11,2526,91.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106644
edge,12,2665,88.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106644
edge,13,2769,85.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106642
edge,14,2938,82.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106644
edge,15,4668,43.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106642
edge,16,4499,46.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106643
edge,17,5139,33.00,1,1,RECEIVED,SUCCESS,NO,NO,PUMP_ON,106644
edge,18,4966,37.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106642
edge,19,4762,41.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106642
edge,20,4674,43.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106644
edge,21,4512,46.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106642
edge,22,4428,49.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106644
edge,23,4183,54.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106644
edge,24,4061,57.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106642
edge,25,3930,59.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106644
edge,26,3752,64.00,2,1,RECEIVED,SUCCESS,NO,NO,PUMP_OFF,106644
edge,27,4290,51.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106643
edge,28,4178,54.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106643
edge,29,4044,57.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106643
edge,30,3871,60.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106644
edge,31,3704,65.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106642
edge,32,3485,70.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106643
edge,33,3239,75.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106644
edge,34,3018,79.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106644
edge,35,2878,83.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106643
edge,36,2757,86.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106642
edge,37,2512,91.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106643
edge,38,4766,40.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106644
edge,39,4711,42.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106644
edge,40,2135,99.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106644
edge,41,2188,98.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106643
edge,42,2245,96.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106642
edge,43,2317,95.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106642
edge,44,2399,93.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106643
edge,45,2411,93.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106643
edge,46,2340,95.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106644
edge,47,2152,99.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106643
edge,48,2131,100.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106643
edge,49,2207,98.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106644
edge,50,4979,36.00,1,1,RECEIVED,SUCCESS,NO,NO,PUMP_ON,106644
edge,51,4945,37.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106642
edge,52,4818,39.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106642
edge,53,4832,40.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106644
edge,54,4742,42.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106644
edge,55,4586,45.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106643
edge,56,4511,46.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106644
edge,57,6247,8.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106642
edge,58,6095,11.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106643
edge,59,5862,16.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106644
edge,60,5749,19.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106644
edge,61,5590,22.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106644
edge,62,3730,63.00,1,1,RECEIVED,SUCCESS,NO,NO,PUMP_OFF,106643
edge,63,3661,66.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106643
edge,64,3478,69.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106644
edge,65,3404,71.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106642
edge,66,3383,72.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106644
edge,67,3316,73.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106643
edge,68,3198,76.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106568
edge,69,3151,77.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106492
edge,70,3042,79.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106644
edge,71,2931,82.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106644
edge,72,2801,85.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106644
edge,73,4945,36.00,2,1,RECEIVED,SUCCESS,NO,NO,PUMP_ON,106644
edge,74,4969,37.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106642
edge,75,4865,38.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106568
edge,76,4878,39.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106644
edge,77,4734,42.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106643
edge,78,4558,45.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106644
edge,79,4473,47.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106642
edge,80,4557,45.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106642
