architecture;cycle_id;raw_value;moisture_pct;end_to_end_latency_ms;mqtt_messages_count;reading_received;command_ack_received;data_loss;command_loss;decision;cloud_outage;min_free_heap
hybrid;1;5978;12;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;NO;100612
hybrid;2;6065;10;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;100612
hybrid;3;6326;4;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;100612
hybrid;4;4630;43;0;0;RECEIVED;NA;NO;NA;KEEP_ON;NO;100612
hybrid;5;3629;66;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;NO;100612
hybrid;6;2846;84;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;100612
hybrid;7;3194;76;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;100612
hybrid;8;4151;54;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;NO;100612
hybrid;9;5152;31;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;NO;100612
hybrid;10;5804;16;1;1;RECEIVED;NA;NO;NA;PUMP_ON;NO;100612
hybrid;11;6326;4;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;100612
hybrid;12;6326;4;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;100612
hybrid;13;4456;47;0;0;RECEIVED;NA;NO;NA;KEEP_ON;NO;100612
hybrid;14;3150;77;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;NO;100612
hybrid;15;2628;89;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;100612
hybrid;16;3716;64;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;100612
hybrid;17;4978;35;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;NO;100612
hybrid;18;5934;13;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;100612
hybrid;19;6456;1;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;100612
hybrid;20;6282;5;1;1;RECEIVED;NA;NO;NA;PUMP_ON;NO;100612
hybrid;21;5978;12;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;100612
hybrid;22;6065;10;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;100612
hybrid;23;6326;4;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;100612
hybrid;24;4630;43;0;0;RECEIVED;NA;NO;NA;KEEP_ON;NO;100612
hybrid;25;3629;66;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;YES;100612
hybrid;26;2846;84;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;YES;100612
hybrid;27;3194;76;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;YES;100612
hybrid;28;4151;54;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;YES;100612
hybrid;29;5152;31;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;YES;100612
hybrid;30;5804;16;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;100612
hybrid;31;6326;4;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;100612
hybrid;32;6326;4;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;100612
hybrid;33;4456;47;0;0;RECEIVED;NA;NO;NA;KEEP_ON;YES;100612
hybrid;34;3150;77;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;YES;100612
hybrid;35;2628;89;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;YES;100612
hybrid;36;3716;64;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;YES;100612
hybrid;37;4978;35;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;YES;100612
hybrid;38;5934;13;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;100612
hybrid;39;6456;1;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;100612
hybrid;40;6282;5;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;100612
hybrid;41;5978;12;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;100612
hybrid;42;6065;10;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;100612
hybrid;43;6326;4;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;100612
hybrid;44;4630;43;0;0;RECEIVED;NA;NO;NA;KEEP_ON;YES;100612
hybrid;45;3629;66;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;YES;100612
hybrid;46;2846;84;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;YES;100612
hybrid;47;3194;76;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;YES;100612
hybrid;48;4151;54;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;YES;100612
hybrid;49;5152;31;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;YES;100612
hybrid;50;5804;16;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;100612
hybrid;51;6326;4;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;100612
hybrid;52;6326;4;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;100612
hybrid;53;4456;47;0;0;RECEIVED;NA;NO;NA;KEEP_ON;YES;100612
hybrid;54;3150;77;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;YES;100612
hybrid;55;2628;89;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;YES;100612
hybrid;56;3716;64;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;YES;100612
hybrid;57;4978;35;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;YES;100612
hybrid;58;5934;13;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;100612
hybrid;59;6456;1;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;100612
hybrid;60;6282;5;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;100612
hybrid;61;5978;12;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;100612
hybrid;62;6065;10;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;100612
hybrid;63;6326;4;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;100612
hybrid;64;4630;43;0;0;RECEIVED;NA;NO;NA;KEEP_ON;NO;100612
hybrid;65;3629;66;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;NO;100612
hybrid;66;2846;84;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;100612
hybrid;67;3194;76;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;100612
hybrid;68;4151;54;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;NO;100612
hybrid;69;5152;31;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;NO;100612
hybrid;70;5804;16;1;1;RECEIVED;NA;NO;NA;PUMP_ON;NO;100612
hybrid;71;6326;4;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;100612
hybrid;72;6326;4;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;100612
hybrid;73;4456;47;0;0;RECEIVED;NA;NO;NA;KEEP_ON;NO;100612
hybrid;74;3150;77;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;NO;100612
hybrid;75;2628;89;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;100612
hybrid;76;3716;64;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;100612
hybrid;77;4978;35;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;NO;100612
